,table_names,table_vers,created_dates,updated_dates,descriptions,comments
26,ADPS-INQ-STAT-RCRD,1,1983-05-10,1992-01-30,STATUSES AND SECURITY CODE WORK RECORD,
465,COUNTY-RCRD,1,1983-05-16,1983-06-07,COUNTY LOOKUP INFORMATION,
2046,STATE-RCRD,1,1983-05-16,,STATE LOOKUP INFORMATION,
1283,PSFND-RCRD,1,1983-06-06,2002-04-09,PS FINDER FILE,DISPLAY AS SYNTAX ONLY. ELMTS HAVE PICTURE OVERRIDES ESTABLISHED DURING CONVERSION. DO INSERT THE REMOVE ALL CLAUSE. THIS IS THE CONVERSION PSFIND RECORD TO BE USED IN CONVERSION TO IBM PROGRAMS.
669,FARMS-ASSISTANCE,2,1983-07-20,1983-07-20,,
3655,5R-CNTRL-RCRD,1,1983-08-20,1983-09-15,5R CONTROL RECORD,THIS RECORD CONTAINS ALL OF THE INFORMATION FOR THE 5R TRANSACTION.
363,BLK-RCRD-1ST,1,1983-08-26,,FIRST BLOCK TICKET RECORD,
365,BLK-RCRDS,1,1983-08-26,,BLOCK TICKET RECORDS,
364,BLK-RCRD-1ST-3,1,1983-08-27,1983-09-16,FIRST BLOCK TICKET RECORD (03),
366,BLK-RCRDS-3,1,1983-08-27,,BLOCK TICKET RECORDS (03),
739,FARMS-INVSTR-DTL,3,1983-09-13,1999-11-18,MISC INVESTOR INFORMATION,INVESTOR DETAIL DATABASE RECORD.  CONTAINS DATA ON LOANS WHICH HAVE BEEN SOLD TO INVESORS.
1456,RGSTR-TTL-RCRD,1,1983-09-16,1983-09-16,DAILY REGISTER TOTAL BALANCING RECORD,USED TO BALANCE THE DAILY REGISTER TOTALS AGAINST TOTALS ACCUMULATED FROM THE BLOCK RECORDS AND TO PRINT OUT CONTROL TOTALS.
17,ADD-SAVE-SYNTX-R,1,1983-09-27,,,"THIS RECORD CONTAINS THE SYNTAX OF ""ADD"" TO THE GOOD SYNTAX FILE."
201,ADS-CURSOR-SELECT-REC-WK,1,1983-09-27,,,
202,ADS-ELEM-DEF-REC-WK,1,1983-09-27,,,
203,ADS-ELEM-INFO-WK,1,1983-09-27,,,
204,ADS-ELEM-PIC-REC-WK,1,1983-09-27,,,
205,ADS-ELEM-UDC-REC-WK,1,1983-09-27,,,
206,ADS-IDD-ELEMENTS-WK,1,1983-09-27,,,
207,ADS-SCREEN-ELEMENTS-WK,1,1983-09-27,,,
208,ADS-SCREEN-LINES-WK,1,1983-09-27,,,
209,ADS-WORK-RECORD-WK,1,1983-09-27,,,
317,AREA-CTL-R,1,1983-09-27,,,THIS RECORD HOLDS INFORMATION ABOUT A AREA FOR DB PRINT/ COMPARE CONTROL TABLES.
354,BATCH-SYS-ERR-R,1,1983-09-27,,,THIS RECORD HOLDS MESSAGE CODES USED IN BATCH PROGRAMS.
464,COUNTERS-R,1,1983-09-27,,COUNTERS RECORD,THIS RECORD CONTAINS ALL COUNTERS USED IN PGDPX180.
501,CURRENT-FUNC-R,1,1983-09-27,,CURRENT FUNCTION,THIS RECORD IS USED IN THE DBA USER DIRECTORY UTILITY.
510,DATA-RECORD-R,1,1983-09-27,,DATA RECORD,THIS RECORD IS A GENERIC RECORD USED BY TEST DATA GENERATION PROGRAMS.
518,DB-DESC-TABLE-R,1,1983-09-27,,DATA BASE DECSCRIPTION TABLE,THIS RECORD HOLDS ALL TEST DATA BASES FOR A SPECIFIC USER AT A SPECIFIC POINT IN TIME.
519,DB-REQUEST-R,1,1983-09-27,,DATA BASE REQUEST,THIS RECORDS HOLDS PARAMETERS FOR DB UTILITY EXECUTION.
520,DB-SAVE-FILE-R,1,1983-09-27,,DEVELOPMENT AIDS SAVE FILE,THIS RECORD IS USED IN THE DBA USER DIRECTORY UTILITY.
536,DCUF-OPTION-R,1,1983-09-27,,DCUF OPTION,"THIS RECORD IS USED TO SPECIFY WHETHER A PROGRAMMER""S TEST SESSION SHOULD BE STARTED OR TERMINATED AND WHETHER AN AREA SHOULD BE VARIED ONLINE OR OFFLINE."
537,DCUF-TEST-RECORD-R,1,1983-09-27,,DCUF TEST RECORD,
539,DECODE-RETURNS-R,1,1983-09-27,,,THIS RECORD CONTAINS RETURN CODES FROM THE DECODE MODULE.
566,DIALOG-CONTROL-R,1,1983-09-27,,DIALOG CONTROL RECORD,THIS RECORD CONTROLS DIALOG FLOW IN ALL THE ON-LINE SHELLS.
567,DIALOG-MAP-R,1,1983-09-27,,DIALOG MAP RECORD,THIS RECORD IS USED IN ALL THE ONLINE SHELLS.
569,DIALOG-PROCESS-R,1,1983-09-27,,DIALOG PROCESS RECORD,THIS RECORD IS USED IN ALL ONLINE SHELLS. IT CONTROLS THE PROCESS OF THE DIALOG.
612,ERROR-DECODE-R,1,1983-09-27,,ERROR DECODE RECORD,THIS RECORD HOLDS BATCH ERROR CODES AND MESSAGES.
613,ERROR-FLAG-R,1,1983-09-27,,ERROR FLAG RECORD,THIS RECORD IS USED TO MARK THE TEST SESSION SYSTEM INITIATION PROGRAM NEEDS TO BE RAN.
615,ERROR-PARM-R,1,1983-09-27,,ERROR PARAMETER,THIS RECORD HOLDS THE ERROR DATA PROCESSED BY THE BATCH ERROR HANDLER.
826,FILCNTL-R,500,1983-09-27,,FILE CONTROL RECORD,&&&
827,FILCNTL-WK-R,1,1983-09-27,,FILE CONTROL WORK RECORD,USED BY THE DIALOG THAT MAINTAINS THE FILE CONTROL DATA BASE USED BY RSAM.
828,FILVRSN-R,500,1983-09-27,,FILE VERSION RECORD,&&&
854,FUNCTION-R,1,1983-09-27,,FUNCTION RECORD,THIS RECORD IS USED IN THE FIRST SCREEN OF THE DBA USER DIRECTORY UTILITY.
861,GFDM-INTERFACE-R,1,1983-09-27,,GFDM INTERFACE,THIS RECORD CONTAINS THE PARAMETERS PASSED TO THE GFDM INTERFACE PROGRAM.
862,GFDM-INTERFACE-R,2,1983-09-27,,GFDM INTERFACE,THIS RECORD CONTAINS THE PARAMETERS PASSED TO THE GFDM INTERFACE PROGRAM.
951,INPUT-SYNTAX-R,1,1983-09-27,,INPUT SYNTAX,THIS IS THE INPUT SYNTAX TO BE USED WHEN READING FROM THE ENTITY ADD FILE.
952,INQ-MAP-WORK-R,1,1983-09-27,,INQUIRY MAP WORK RECORD,THIS RECORD CONTAINS THE SPECIFIC WORK ELEMENTS USED BY THE IDD RECORD INQUIRY DIALOG
998,KEY-WORD-R,1,1983-09-27,1984-01-10,KEY WORD,THIS RECORD CONTAINS THE SYNTAX FOR WRITING SYNTAX TO THE GOOD SYNTAX FILE.
1065,LOGON-ID-R,1,1983-09-27,,LOGON ID,THIS ELEMENT IS USED IN THE DBA USER DIRECTORY UTILITY.
1066,LONG-MSG-R,1,1983-09-27,,LONG MESSAGE,THIS RECORD IS USED TO DISPLAY MESSAGES TO ONLINE USERS.
1083,MAP-DB-DESC-R,1,1983-09-27,,MAP DATA BASE DESCRIPTIONS,THIS RECORD HOLDS MAP DISPLAY FIELDS USED TO HOLD DESCRIPTIONS OF USER DATA BASES.
1089,MASTER-WORK-R,1,1983-09-27,,WORK RECORD,"THIS RECORD IS USED IN ALL THE SUB-MAPS OF THE IDMS DC/DB PROGRAMMER""S MASTER MENU."
1090,MENU-FIELDS-R,1,1983-09-27,,IDMS-DC MENU FIELDS,"THIS RECORD IS USED IN ALL MAPS ASSOCIATED WITH THE IDMS DB/DC PROGRAMMER""S MASTER MENU."
1093,MESSAGE-R,1,1983-09-27,,MESSAGE,THIS RECORD CONTAINS THE APPLICATION PROGRAM ERROR MESSAGES.
1125,MSG-HELP-R,1,1983-09-27,1983-09-27,MESSAGE HELP,THIS RECORD CONTAINS THE MESSAGES FOR HELP REQUESTS USED IN ON-LINE PROGRAMMING.
1335,REC-EMT-DESC-R,1,1983-09-27,,RECORD ELEMENT DESCRIPTION,THIS RECORD IS THE DESCRIPTION OF ELEMENTS IN A RECORD.
1336,REC-EMT-DESC-R,2,1983-09-27,,RECORD ELEMENT DESCRIPTION,THIS RECORD IS THE DESCRIPTION OF ELEMENTS IN A RECORD.
1339,REC-EMT-VALU-R,1,1983-09-27,,RECORD ELEMENT VALUE,THIS RECORD IS THE VALUE OF ELEMENTS IN AN OCCURRENCE OF A RECORD.
1340,REC-EMT-VALU-R,2,1983-09-27,,RECORD ELEMENT VALUE,THIS RECORD IS THE VALUE OF ELEMENTS IN AN OCCURRENCE OF A RECORD.
1342,REC-KEY-DESC-R,1,1983-09-27,,RECORD KEY DESCRIPTION,THIS RECORD IS THE DESCRIPTION OF ELEMENTS REQUIRED FOR KEY SELECTION OF A RECORD.
1343,REC-KEY-DESC-R,2,1983-09-27,,RECORD KEY DESCRIPTION,THIS RECORD IS THE DESCRIPTION OF ELEMENTS REQUIRED FOR KEY SELECTION OF A RECORD.
1346,REC-KEY-VALU-R,2,1983-09-27,,RECORD KEY VALUE,THIS RECORD IS THE VALUE OF ELEMENTS REQUIRED FOR KEY SELECTION OF A RECORD.
1347,REC-SET-TABLE-R,1,1983-09-27,,RECORD SET TABLE,THIS RECORD IS A TABLE CONTAINING INFORMATION RELATING TO SETS AND RECORDS REQUIRED TO ESTABLISH POSITION IN THE DATABASE FOR A RECORD TYPE.
1350,RECORD-CTL-R,1,1983-09-27,,RECORD CONTROL,THIS RECORD HOLDS INFORMATION ABOUT A RECORD FOR DB PRINT/ COMPARE CONTROL TABLES.
1522,SAVE-FILE-INPUT-R,1,1983-09-27,,SAVED FILE INPUT,THIS RECORD SAVES INPUT FILES.
1523,SAVED-CONTROL-R,1,1983-09-27,,SAVED CONTROL RECORD,THIS RECORD SAVES THE CONTROL RECORD IN THE USER DIRECTORY.
1625,SCHEMA-CTL-R,1,1983-09-27,,SCHEMA CONTROL,THIS RECORD HOLDS INFORMATION ABOUT A SCHEMA FOR DB PRINT/ COMPARE CONTROL TABLES.
1626,SCHEMA-TABLE-R,1,1983-09-27,,SCHEMA TABLE RECORD,THIS RECORD IS THE TABLE WHERE SCHEMA INPUT RECORD IS STORED.
1631,SCREEN-HELP-R,1,1983-09-27,,SCREEN HELP RECORD,THIS RECORD IS USED IN THE HELP UTILITY.
1765,SET-CTL-R,1,1983-09-27,,SET CONTROL,THIS RECORD HOLDS INFORMATION ABOUT A SET FOR DB PRINT/COMPARE CONTROL TABLES.
1968,SIGNON-R,1,1983-09-27,,SIGNON RECORD,THIS RECORD IS USED IN MAP MPDPR099
2017,SR-036-INQ-MAP-R,1,1983-09-27,,,THIS RECORD HOLDS THE SR-036 DATA BASE ELEMENTS THAT ARE TO BE DISPLAYED ON THE RECORD INQUIRY SCREEN.
2063,SUB-SEL-R,1,1983-09-27,,SUB MENU SELECTION RECORD,"THIS RECORD IS USED IN SUB-MAP MPDPR400 WHICH IS INVOKED BY SELECTION 4 ON THE IDMS DB/DC PROGRAMMER""S MASTER MENU."
2104,SYSTEM-LOG-DTL-R,1,1983-09-27,,SYSTEM LOG DETAIL,
2106,TABLE-CONTROL-R,1,1983-09-27,,TABLE COUNTROL,THIS RECORDS IS USED TO CONTROL THE CLEARING OF EXCESS TABLE ENTRIES TO SPACES IN THE LOAD/SAVE DBS PROGRAM.
2107,TABLE-CTL-R,1,1983-09-27,,TABLE CONTROL RECORD,THIS RECORD ALLOWS A SORTING OF INPUT RECORDS INTO TABLES BY RECORD TYPE.
2130,TDG-CONTROL-R,1,1983-09-27,,TEST DATA GENERATOR CONTROL,THIS RECORD IS USED FOR TEST DATA GEN- ERATION CONTROL.
2131,TDG-MAP-R,1,1983-09-27,,TEST DATA GENERATOR MAP,THIS RECORD IS USED FOR THE FIELDS APPEARING ON TEST DATA GENERATION SCREENS.
2132,TDG-VSAM-R,1,1983-09-27,,TEST DATA GENERATOR VSAM,THIS RECORD IS USED IN THE TEST DATA GENERATOR VSAM FILE.
2133,TDG-WORK-R,1,1983-09-27,,TEST DATA GENERATOR WORK,THIS RECORD IS THE TEST DATA GENERATOR DIALOG WORKING STORAGE.
1638,SDC-ADRS-RCRD,1,1983-10-03,1984-06-01,RMS NME & ADRS RECORD FOR FMHA OFFICES,
1639,SDC-DATA-RCRD,1,1983-10-03,1984-01-20,RMS DATA BY MO & YR FOR SPECIFIC OFFICE,
2037,ST-RCRD,1,1983-10-03,1984-01-20,RMS DATA BY MO & YR FOR A SPECIFIC ST,
942,INPUT-DATA-SCREEN-1,1,1983-10-04,1992-09-01,RMS MENU SELECTION SCREEN DATA,
943,INPUT-DATA-SCREEN-2,1,1983-10-04,1984-10-30,RMS OPERATING REPORT DATA INPUT RECORD,
944,INPUT-DATA-SCREEN-3,1,1983-10-05,1984-10-30,RMS NME & ADDR RECORD MAINT. DATA,
945,INPUT-DATA-SCREEN-4,1,1983-10-05,1992-11-04,RMS MAINT. DATA FOR STATE RECORD.,
947,INPUT-DATA-SCREEN-5,1,1983-10-05,1984-10-30,,
425,CMMTS-RCRD,1,1983-10-12,1989-05-12,RMS COMMENTS FOR REPORTING PURPOSES,
2162,TIME-STNDS-RCRD,1,1983-10-12,1984-03-31,RMS TIME STANDARDS RECORD,
297,APROPTN-EDIT-RECORD,1,1983-10-22,1984-01-23,FOLLOWS,
91,ADPT2A-02,1,1983-10-24,1983-10-24,CASH COLLECTION TRANSACTION 2A/2B,
16,ADBS-WORK-RECORD,1,1983-12-01,,ADD SAVE SYNTAX,
2019,SSCT,1,1983-12-03,1994-10-22,LINKAGE AREA FOR APPC DIS 4C,
2025,SSLRCT,2,1983-12-03,1994-10-22,,
1192,OPRTN-CDE-LITRL-MFH,1,1983-12-16,1993-08-02,OPERATION CONTROL LITERAL,
1247,PRINT-RCRD-MFH,1,1983-12-16,1984-07-18,PRINT RECORD,
1451,REPTG-CNTRL-AREA-MFH,1,1983-12-16,1984-06-29,REPORTING CONTROL AREA,
1455,RETURN-CDE-LITRL-MFH,1,1983-12-16,1984-06-29,RETURN CODE LITERAL,
2123,TBLHDR-R,1,1984-01-03,1984-01-13,TABLE HEADER,
2109,TABLREC-R,1,1984-01-04,1984-01-04,TABLE RECORD,
948,INPUT-DATA-SCREEN-6,1,1984-01-11,1984-10-30,RMS OPERATING REPORT DATA INPUT RECORD,
1170,OBLGNWF,1,1984-01-13,1984-03-14,OBLIGATION WORK FILE,
302,APROPTN-MAP-REC,1,1984-01-17,1991-09-05,APPROPRIATION MAP RECORD,
310,APRTNMT-MAP-REC,1,1984-01-19,2014-05-12,APPROTIONMENT MAP RECORD,
1103,MO-INDEX-REC,1,1984-01-19,1984-06-29,MONTH INDEX RECORD,
2040,STAFF-RCRD,1,1984-01-20,1987-01-15,RMS STAFF RECORD,
1361,REPT-RCRD,1,1984-01-26,1988-10-28,ANNUAL TAX SUMMARY REPORT,
172,ADPT6D13,1,1984-02-01,1984-02-02,,
173,ADPT6D23,1,1984-02-01,,CD#2 ADPS; 6D-ESTBLSH NEW-HLDR;6G-CORRCT,
174,ADPT6D33,1,1984-02-01,,CD#3 ADPS; 6D-ESTBLSH NEW-HLDR;6G-CORRCT,
181,ADPT7A02,1,1984-02-01,1984-02-02,,
182,ADPT7A13,1,1984-02-01,,SALE OF INSURED LNS MNE/ADRS CD#1 (ADPS),
183,ADPT7A23,1,1984-02-01,1984-02-02,SALE OF INSURED LNS NME/ADRS CD#2 (ADPS),
184,ADPT7A33,1,1984-02-01,1984-02-02,SALE OF INSURED LNS NME/ADRS CD#3 (ADPS),
565,DIALOG-CNTRL,1,1984-02-07,1994-10-11,DIALOG CONTROL,
251,ALOTDSCP,2,1984-02-09,1984-03-01,ALLOTTED DISCREPANCY,
293,APROPTN,2,1984-02-09,1984-05-05,APPROPRIATION RECORD,
295,APROPTN-ACCTG-WORK-RCRD,1,1984-02-09,1984-02-09,APROPRIATION ACCTG ADSO WORK DATA,
307,APRTNMT,2,1984-02-09,1984-05-15,APORTIONMENT RECORD,
332,AUDITBLK,2,1984-02-09,1984-08-24,AUDIT BLOCK,
376,BORRDSCP,2,1984-02-09,1984-03-08,BORROWER DISCREPANCY,
444,CNTRL,2,1984-02-09,1984-03-08,CONTROL RECORD,
606,ENTDTL,2,1984-02-09,1984-06-08,ENTRY DETAIL,
608,ENTHDR,2,1984-02-09,1984-05-24,ENTRY HEADER,
741,FARMS-INVSTR-INFO-MISC,1,1984-02-09,1999-11-18,,MISCELLANEOUS INVESTOR INFORMATION
813,FARMS-USER-STATCS,1,1984-02-09,1984-02-14,,USER STATISTICS ON TERMINAL SYSTEM
889,GLMANCR,2,1984-02-09,1984-05-31,GENERAL LEDGER MANUAL ANCHOR,
957,INSTLMT,2,1984-02-09,1984-07-24,INSTALMENT RECORD,
980,IPTDSCP,2,1984-02-09,1985-02-26,INPUT DISCREPANCY (PENDING),
996,JURIS,2,1984-02-09,1984-03-01,JURISDICTION,
1004,LEASE,2,1984-02-09,1984-05-02,LEASE RECORD,
1006,LIEN,2,1984-02-09,1984-02-24,LIEN,
1008,LIENHIST,2,1984-02-09,1984-04-03,LIEN HISTORY RECORD,
1047,LOANADV,2,1984-02-09,1984-05-01,LOAN ADVANCE RECORD,
1312,RAPYMT,2,1984-02-09,1984-03-01,RENTAL ASSISTANCE PAYMENT RECORD,
1480,RPTANCOR,2,1984-02-09,1984-03-01,REPORT ANCOR RECORD,
1482,RPTREC,2,1984-02-09,1984-06-08,REPORT RECORD,
1519,SALE,2,1984-02-09,1984-10-24,SALE RECORD,
1521,SALEHIST,2,1984-02-09,1984-10-24,SALE HISTORY,
2053,STDIST,2,1984-02-09,1985-12-03,STATE DISTRIBUTION RECORD,
1126,MSG-HELP-REC,1,1984-02-11,1984-02-18,MESSAGE HELP RECORD,
1191,ONLINE-ERR-REC,1,1984-02-13,1986-10-27,GLOBAL RECORD FOR RCFTS SYSTEM,
503,CYCLE-RUN,1,1984-02-14,1984-07-18,CYCLE RUN,
614,ERROR-HANDLING-REC,1,1984-02-14,1984-02-15,ERROR HANDLING RECORD,
511,DATE-CONSTANTS-RCRD,1,1984-02-16,1984-06-29,DATE-CONSTANTS-RECORD,
512,DATE-EDIT-RCRD,1,1984-02-16,1985-10-28,DATE EDIT RECORD,
1499,SADLD201-MAP-WORK-RCRD,1,1984-02-18,1984-06-29,SADLD201 MAP WORK RECORD,
1501,SADLD211-MAP-WORK-RCRD,1,1984-02-18,1984-06-30,SADLD211 MAP WORK RECORD,
1502,SADLD221-MAP-WORK-RCRD,1,1984-02-18,1984-06-30,SADLD221 MAP WORK RECORD,
2122,TBLHDR,2,1984-02-18,1984-03-02,TABLE HEADER,
2127,TBLREC,2,1984-02-18,1984-05-24,TABLE RECORD,
1,ACCRLINK,1,1984-02-21,1998-03-09,ACCRUAL LINK RECORD,THIS RECORD IS USED TO PASS TO AND FROM INFORMATION REQUIRED TO COMPLETE AN ACCRUAL
426,CNCL-OBLGN-MAP-REC,1,1984-02-21,1993-02-22,CANCL,
1491,SADLD101-MAP-WORK-RCRD,1,1984-02-21,1993-07-07,STATE DISTRBTN OF FUNDS AMT MAP WORK REC,
1637,SD-SF-CNTRL-MAP,1,1984-02-21,1994-09-02,"SD, SF MAP GROUP",
1784,SGDLD141-MAP-RCRD,1,1984-02-21,1984-03-01,SGDLD141-MAP-RCRD,
568,DIALOG-PROCESS,1,1984-02-23,1986-10-27,GLOBAL RECORD FOR RCFTS SYSTEM,
901,GLTHDR,2,1984-02-23,1984-04-12,GENERAL LEDGER HEADER RECORD,
1500,SADLD201-SAVE-WORK-RCRD,1,1984-02-23,1984-06-29,SADLD201 SAVE WORK RECORD,
1359,REPORT-REC,1,1984-02-24,1984-07-19,REPORT RECORD,
1492,SADLD101-SAVE-WORK-RCRD,1,1984-02-24,1985-03-21,SADLD101 SAVE WORK RECORD,
1493,SADLD111-MAP-WORK-RCRD,1,1984-02-24,1987-08-27,RECORD STATE DISTRIBUTION OF FUNDS-RA,
1504,SADLD351-MAP-WORK-RCRD,1,1984-02-24,1984-06-30,MAP WORK RECORD FOR SADLD351,
355,BCMCNTL,1,1984-03-01,1985-01-16,BATCH CONTROL MODULE CONTROL AREA,
1159,OBLGN-DATA-MTNC-MAP-RCRD,1,1984-03-01,1992-04-09,NONMONETARY OBLIGATION DATA MAINTENANCE,
1490,SADLD051-MAP-WORK-RCRD,1,1984-03-02,2014-05-12,MAP WORK RECORD,
1365,REPT-RCRD-010,1,1984-03-05,1990-09-07,REPORT RECORD 010,
1366,REPT-RCRD-012,1,1984-03-05,1995-06-20,REPORT RECORD 012,
1368,REPT-RCRD-030,1,1984-03-05,1986-04-07,REPORT RECORD 030,
1369,REPT-RCRD-035,1,1984-03-05,1985-11-20,REPORT RECORD 035,
1383,REPT-RCRD-115,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 115,
1384,REPT-RCRD-120,1,1984-03-05,1988-05-16,REPORT RECORD DETAIL 120,
1386,REPT-RCRD-135,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 135,
1387,REPT-RCRD-140,1,1984-03-05,1986-03-05,REPORT RECORD DETAIL 140,
1389,REPT-RCRD-145,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL ONE FORTY FIVE,
1390,REPT-RCRD-150,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 150,
1392,REPT-RCRD-165,1,1984-03-05,1986-09-08,REPORT RECORD DETAIL 165,
1396,REPT-RCRD-185,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 185,
1397,REPT-RCRD-195,1,1984-03-05,1994-04-18,REPORT RECORD DETAIL 195,
1399,REPT-RCRD-200,1,1984-03-05,1995-10-26,REPORT RECORD DETAIL 200,
1402,REPT-RCRD-205,1,1984-03-05,1995-10-26,REPORT RECORD DETAIL 205,
1404,REPT-RCRD-210,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 210,
1407,REPT-RCRD-240,1,1984-03-05,1984-06-13,REPORT RECORD DETAIL 240,
1408,REPT-RCRD-245,1,1984-03-05,1984-06-13,REPORT,
1429,REPT-RCRD-515,1,1984-03-05,1984-06-29,REPORT RECORD DETAIL 515,
1440,REPT-RCRD-645,1,1984-03-05,1984-06-13,,
3602,WORK-RPTREC,1,1984-03-05,1984-06-13,REPORT RECORD,
1371,REPT-RCRD-042,1,1984-03-06,1984-11-01,REPORT RECORD 042,
1364,REPT-RCRD-005,1,1984-03-07,1984-06-13,REPORT RECORD 005,
1005,LIEN,1,1984-03-09,1984-03-30,LIEN,
1007,LIENHIST,1,1984-03-09,1984-03-30,LIEN HISTORY RECORD,
1311,RAPYMT,1,1984-03-09,1984-03-30,RENTAL ASSISTANCE PAYMENT RECORD,
2121,TBLHDR,1,1984-03-09,1984-06-30,TABLE HEADER,
423,CMBN-OBLGN-MAP-RCRD,1,1984-03-12,1984-04-20,COMBINE OBLIGATIONS MAP RECORD,
1484,RUN-REPT-MSG-CNSTNTS,1,1984-03-12,1984-06-29,RUN REPORT MESSAGE CONSTANTS,
1497,SADLD151-MAPWORK,1,1984-03-12,1984-03-22,MAP WORK RECORD,
1498,SADLD161-MAPWORK,1,1984-03-12,1984-03-22,MAP WORK RECORD,
977,INTADJL,1,1984-03-13,1984-03-14,INTEREST ADJUSTMENT LINKAGE,
1431,REPT-RCRD-525,1,1984-03-13,1984-08-03,REPORT RECORD 525,
1441,REPT-RCRD-647,1,1984-03-13,1984-08-03,REPORT RECORD 647,
1442,REPT-RCRD-648,1,1984-03-13,1984-10-29,REPORT RECORD 648,
2036,ST-DST-TBL-RCRD,1,1984-03-13,1991-01-29,STATE DISTRICT TABLE,
1372,REPT-RCRD-043,1,1984-03-14,1987-03-11,REPORT RCRD FORTY THREE,
1443,REPT-RCRD-651,1,1984-03-14,1984-06-13,REPORT RECORD 651,
1503,SADLD301-MAP-WORK-RCRD,1,1984-03-16,1985-01-25,SADLD301 MAP WORK RECORD,
1552,SBDLD501-MAPWORK,1,1984-03-20,,SBDLD501 MAP WORK RECORD,
1553,SBDLD502-MAPWORK,1,1984-03-22,,SBDLD502 MAP WORK RECORD,
2010,SPLIT-OBLGN-RCRD,1,1984-03-22,1984-07-17,SPLIT-OBLIGATION-MAP-RECORD,
1348,RECAP-TEST-MAP,1,1984-03-26,,RECAP TEST MAP RECORD,
1494,SADLD130-MAPWORK,1,1984-03-27,1987-12-14,INQUIRY MAPWORK RECORD,
1495,SADLD131-MAPWORK,1,1984-03-27,1987-10-22,INQUIRY MAPWORK RECORD,
1516,SADLD710-MAPWORK-RCRD,1,1984-03-27,1985-07-26,SADLD710 MAPWORK RECORD,
107,ADPT3K-22,1,1984-03-28,,NON-CASH CREDIT-WRITE-OFFS,
108,ADPT3K-32,1,1984-03-28,,NON-CASH CREDIT-WRITE-OFFS,
1508,SADLD540-MAPWORK,1,1984-03-28,1984-06-29,MAP-WORK RECORD FOR SADLD540/SADLD550,
1540,SBDLD161-MAPWORK,1,1984-03-29,1984-09-06,OBLIGATE COST ITEMS WORK RECORD,
949,INPUT-DATA-SCREEN-7,1,1984-03-30,1984-10-30,DATA RECORD FOR SCREEN 3 RMS,
950,INPUT-DATA-SCREEN-8,1,1984-03-30,1984-10-30,RECORD FOR DATA FROM SCREEN 7 RMS,
1287,PYMT-TRNSCTN,1,1984-04-02,1995-05-18,PAYMENT-TRANSACTION,PAYMENT-TRANSACTION REDEFINES W008-TRNSCTN-DTL-AREA-MFH
1437,REPT-RCRD-611,1,1984-04-02,1991-06-26,REPORT RECORD SIX ELEVEN,
572,DISBRSMT-MTNC-RCRD,1,1984-04-03,1984-08-24,DISBURSEMENT MAINTENANCE RECORD,
635,EXCESS-PYMT-RCRD,1,1984-04-03,1984-07-19,EXCESS PAYMENT RECORD,
1163,OBLGN-STRG-RCRD,1,1984-04-03,1984-04-11,OBLIGATION WORK RECORD,
1315,RCPT-MTNC-RCRD,1,1984-04-03,1984-08-24,RECEIPT MAINTENANCE RECORD,
1505,SADLD500-MAPWORK,1,1984-04-03,2014-05-12,SADLD500 MAPWORK,
1506,SADLD510-MAPWORK,1,1984-04-03,1987-09-15,SADLD510 MAPWORK,
1164,OBLGN-STRG-RCRD-AMTS,1,1984-04-04,1984-04-12,,
1496,SADLD132-MAPWORK,1,1984-04-05,1984-06-29,SADLD132 MAPWORK,
1095,MISC-RCVB-TRANS-RCRD,1,1984-04-07,1984-04-16,MISCELLANEOUS RECEIVABLE TRANSACTIONS,
1555,SBDLD503-MAPWORK,1,1984-04-09,1984-10-11,SBDLD503 MAPWORK,
1556,SBDLD504-MAPWORK,1,1984-04-09,2016-06-27,SBDLD504-MAPWORK,
1097,MISCRCVB,1,1984-04-10,1984-04-11,MISCELLANEOUS RECEIVABLE DATA BASE REC,
1434,REPT-RCRD-585,1,1984-04-10,1984-06-21,REPORT RECORD FIVE EIGHTY FIVE,
278,APENDHDR,2,1984-04-12,1984-07-10,AUX. PENDING HEADER,
280,APENDTL,2,1984-04-12,1984-07-10,AUXILLIARY PENDING DETAIL RECORD,
1128,MSRECHDR,2,1984-04-12,,MISCELLANEOUS RECORD HEADER,
1161,OBLGN-LOAD-RCRD,1,1984-04-12,,OBLIGATION PURPOSE CODE TABLE,
1562,SBDLD505-MAPWORK,1,1984-04-12,,,
2260,VOUCHER,2,1984-04-12,1984-05-16,VOUCHER,
304,APROPTN-TRNSCTN-RCRD,1,1984-04-17,1984-06-29,,
312,APRTNMT-TRNSCTN-RCRD,1,1984-04-17,2014-07-02,APPORTIONMENT TRANSACTION RECORD,
1231,POOLNG-TRNSCTN-RCRD,1,1984-04-17,1984-06-29,POOLING TRANSACTION RECORD,
1486,RVRS-POOLNG-TRNSCTN-RCRD,1,1984-04-17,1984-06-30,REVERSE POOLING TRANSACTION RECORD,
1956,SGMDD805,1,1984-04-17,,COPY RECORD 805,
431,CNCLD-MISC-TRNSCTN-RCRD,1,1984-04-18,1985-09-13,CANCELLED MISCELLANEOUS TRANSACTION REC,
